Time,Anchor1,Anchor2,Anchor3,Anchor4,Filtered_X,Filtered_Y
22:04:07,2.85,2.13,1.14,1.31,1.81,2.45
22:04:07,2.89,2.08,1.12,1.42,1.86,2.46
22:04:07,3.01,2.09,1.0,1.54,1.91,2.48
22:04:07,3.42,2.01,0.91,1.71,2.03,2.55
22:04:07,3.07,1.89,0.65,1.9,2.09,2.54
22:04:07,2.87,1.85,0.57,1.92,2.11,2.50
22:04:08,3.14,2.04,0.57,2.06,2.16,2.49
22:04:08,3.18,1.79,0.52,2.13,2.22,2.48
22:04:08,3.15,2.02,0.43,2.17,2.26,2.47
22:04:08,3.14,1.72,0.6,2.08,2.31,2.46
22:04:08,3.19,2.0,0.61,2.11,2.34,2.46
22:04:09,3.18,1.95,0.57,2.72,2.37,2.39
22:04:09,3.24,1.96,0.69,2.67,2.40,2.35
22:04:09,3.23,1.92,0.77,2.81,2.43,2.29
22:04:09,3.17,1.76,0.98,2.83,2.46,2.23
22:04:09,3.16,1.77,0.52,2.13,2.48,2.26
22:04:09,3.14,1.82,0.58,2.3,2.50,2.26
22:04:10,3.22,1.79,0.77,2.21,2.52,2.28
22:04:10,3.21,1.9,0.72,2.28,2.53,2.29
22:04:10,3.2,2.12,0.69,2.22,2.52,2.30
22:04:10,3.16,2.21,0.72,2.22,2.50,2.31
22:04:10,3.1,2.24,0.7,2.22,2.47,2.30
22:04:10,3.09,2.41,0.7,2.29,2.42,2.29
22:04:11,3.07,2.29,0.67,2.2,2.40,2.29
22:04:11,3.11,2.48,0.62,2.31,2.36,2.28
22:04:11,3.02,1.9,0.53,2.21,2.36,2.27
22:04:11,2.9,1.9,0.57,3.34,2.36,2.11
22:04:11,2.91,1.77,0.48,2.14,2.36,2.11
22:04:11,2.96,1.99,0.47,2.01,2.35,2.14
22:04:12,3.14,2.08,0.53,2.0,2.36,2.18
22:04:12,3.13,2.2,0.5,2.59,2.36,2.16
22:04:12,3.29,2.21,0.51,2.62,2.37,2.16
22:04:12,3.31,2.27,0.33,2.98,2.39,2.12
22:04:12,3.35,1.94,0.35,2.39,2.43,2.16
